screening balanced starts with Stockfish...
1666 balanced starts ready
[20/5000] games, 397 samples
[40/5000] games, 794 samples
[60/5000] games, 1189 samples
[80/5000] games, 1589 samples
[100/5000] games, 1977 samples
[120/5000] games, 2377 samples
[140/5000] games, 2762 samples
[160/5000] games, 3161 samples
[180/5000] games, 3549 samples
[200/5000] games, 3944 samples
[220/5000] games, 4344 samples
[240/5000] games, 4744 samples
[260/5000] games, 5135 samples
[280/5000] games, 5524 samples
[300/5000] games, 5912 samples
[320/5000] games, 6306 samples
[340/5000] games, 6689 samples
[360/5000] games, 7088 samples
[380/5000] games, 7482 samples
[400/5000] games, 7879 samples
[420/5000] games, 8258 samples
[440/5000] games, 8657 samples
[460/5000] games, 9057 samples
[480/5000] games, 9457 samples
[500/5000] games, 9842 samples
[520/5000] games, 10234 samples
[540/5000] games, 10634 samples
[560/5000] games, 11003 samples
[580/5000] games, 11398 samples
[600/5000] games, 11792 samples
[620/5000] games, 12189 samples
[640/5000] games, 12589 samples
[660/5000] games, 12970 samples
[680/5000] games, 13363 samples
[700/5000] games, 13762 samples
[720/5000] games, 14150 samples
[740/5000] games, 14542 samples
[760/5000] games, 14925 samples
[780/5000] games, 15313 samples
[800/5000] games, 15713 samples
[820/5000] games, 16100 samples
[840/5000] games, 16492 samples
[860/5000] games, 16888 samples
[880/5000] games, 17275 samples
[900/5000] games, 17663 samples
[920/5000] games, 18054 samples
[940/5000] games, 18452 samples
[960/5000] games, 18838 samples
[980/5000] games, 19237 samples
[1000/5000] games, 19637 samples
[1020/5000] games, 20034 samples
[1040/5000] games, 20430 samples
[1060/5000] games, 20830 samples
[1080/5000] games, 21218 samples
[1100/5000] games, 21618 samples
[1120/5000] games, 22018 samples
[1140/5000] games, 22416 samples
[1160/5000] games, 22801 samples
[1180/5000] games, 23201 samples
[1200/5000] games, 23597 samples
[1220/5000] games, 23997 samples
[1240/5000] games, 24394 samples
[1260/5000] games, 24789 samples
[1280/5000] games, 25178 samples
[1300/5000] games, 25560 samples
[1320/5000] games, 25960 samples
[1340/5000] games, 26360 samples
[1360/5000] games, 26760 samples
[1380/5000] games, 27159 samples
[1400/5000] games, 27543 samples
[1420/5000] games, 27943 samples
[1440/5000] games, 28343 samples
[1460/5000] games, 28742 samples
[1480/5000] games, 29142 samples
[1500/5000] games, 29534 samples
[1520/5000] games, 29934 samples
[1540/5000] games, 30328 samples
[1560/5000] games, 30728 samples
[1580/5000] games, 31124 samples
[1600/5000] games, 31517 samples
[1620/5000] games, 31917 samples
[1640/5000] games, 32306 samples
[1660/5000] games, 32706 samples
[1680/5000] games, 33100 samples
[1700/5000] games, 33500 samples
[1720/5000] games, 33900 samples
[1740/5000] games, 34292 samples
[1760/5000] games, 34692 samples
[1780/5000] games, 35087 samples
[1800/5000] games, 35476 samples
[1820/5000] games, 35876 samples
[1840/5000] games, 36267 samples
[1860/5000] games, 36667 samples
[1880/5000] games, 37067 samples
[1900/5000] games, 37451 samples
[1920/5000] games, 37851 samples
[1940/5000] games, 38241 samples
[1960/5000] games, 38641 samples
[1980/5000] games, 39041 samples
[2000/5000] games, 39420 samples
[2020/5000] games, 39820 samples
[2040/5000] games, 40207 samples
[2060/5000] games, 40603 samples
[2080/5000] games, 40991 samples
[2100/5000] games, 41391 samples
[2120/5000] games, 41764 samples
[2140/5000] games, 42160 samples
[2160/5000] games, 42557 samples
[2180/5000] games, 42957 samples
[2200/5000] games, 43357 samples
[2220/5000] games, 43757 samples
[2240/5000] games, 44157 samples
[2260/5000] games, 44551 samples
[2280/5000] games, 44947 samples
[2300/5000] games, 45344 samples
[2320/5000] games, 45744 samples
[2340/5000] games, 46123 samples
[2360/5000] games, 46523 samples
[2380/5000] games, 46920 samples
[2400/5000] games, 47320 samples
[2420/5000] games, 47720 samples
[2440/5000] games, 48110 samples
[2460/5000] games, 48503 samples
[2480/5000] games, 48896 samples
[2500/5000] games, 49282 samples
[2520/5000] games, 49667 samples
[2540/5000] games, 50047 samples
[2560/5000] games, 50440 samples
[2580/5000] games, 50837 samples
[2600/5000] games, 51235 samples
[2620/5000] games, 51625 samples
[2640/5000] games, 52008 samples
[2660/5000] games, 52390 samples
[2680/5000] games, 52774 samples
[2700/5000] games, 53162 samples
[2720/5000] games, 53562 samples
[2740/5000] games, 53960 samples
[2760/5000] games, 54336 samples
[2780/5000] games, 54736 samples
[2800/5000] games, 55130 samples
[2820/5000] games, 55530 samples
[2840/5000] games, 55929 samples
[2860/5000] games, 56329 samples
[2880/5000] games, 56711 samples
[2900/5000] games, 57111 samples
[2920/5000] games, 57498 samples
[2940/5000] games, 57894 samples
[2960/5000] games, 58279 samples
[2980/5000] games, 58664 samples
[3000/5000] games, 59064 samples
[3020/5000] games, 59464 samples
[3040/5000] games, 59864 samples
[3060/5000] games, 60238 samples
[3080/5000] games, 60616 samples
[3100/5000] games, 61016 samples
[3120/5000] games, 61416 samples
[3140/5000] games, 61800 samples
[3160/5000] games, 62200 samples
[3180/5000] games, 62594 samples
[3200/5000] games, 62994 samples
[3220/5000] games, 63394 samples
[3240/5000] games, 63790 samples
[3260/5000] games, 64190 samples
[3280/5000] games, 64590 samples
[3300/5000] games, 64988 samples
[3320/5000] games, 65388 samples
[3340/5000] games, 65788 samples
[3360/5000] games, 66188 samples
[3380/5000] games, 66588 samples
[3400/5000] games, 66983 samples
[3420/5000] games, 67383 samples
[3440/5000] games, 67779 samples
[3460/5000] games, 68174 samples
[3480/5000] games, 68557 samples
[3500/5000] games, 68957 samples
