book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1-0     (us: win)  [1+0=0-]
game  2: B 1-0     (us: loss)  [1+0=1-]
game  3: W 1-0     (us: win)  [2+0=1-]
game  4: B 1-0     (us: loss)  [2+0=2-]
game  5: W 1/2-1/2 (us: draw)  [2+1=2-]
game  6: B 1/2-1/2 (us: draw)  [2+2=2-]
game  7: W 0-1     (us: loss)  [2+2=3-]
game  8: B 0-1     (us: win)  [3+2=3-]
game  9: W 1-0     (us: win)  [4+2=3-]
game 10: B 0-1     (us: win)  [5+2=3-]
game 11: W 1-0     (us: win)  [6+2=3-]
game 12: B 0-1     (us: win)  [7+2=3-]
game 13: W 1-0     (us: win)  [8+2=3-]
game 14: B 0-1     (us: win)  [9+2=3-]
game 15: W 0-1     (us: loss)  [9+2=4-]
game 16: B 1/2-1/2 (us: draw)  [9+3=4-]
game 17: W 0-1     (us: loss)  [9+3=5-]
game 18: B 1-0     (us: loss)  [9+3=6-]
game 19: W 1/2-1/2 (us: draw)  [9+4=6-]
game 20: B 0-1     (us: win)  [10+4=6-]
game 21: W 1/2-1/2 (us: draw)  [10+5=6-]
game 22: B 0-1     (us: win)  [11+5=6-]
game 23: W 1-0     (us: win)  [12+5=6-]
game 24: B 1-0     (us: loss)  [12+5=7-]
game 25: W 0-1     (us: loss)  [12+5=8-]
game 26: B 1/2-1/2 (us: draw)  [12+6=8-]
game 27: W 1-0     (us: win)  [13+6=8-]
game 28: B 1/2-1/2 (us: draw)  [13+7=8-]
game 29: W 1-0     (us: win)  [14+7=8-]
game 30: B 1-0     (us: loss)  [14+7=9-]
game 31: W 0-1     (us: loss)  [14+7=10-]
game 32: B 1/2-1/2 (us: draw)  [14+8=10-]
game 33: W 1-0     (us: win)  [15+8=10-]
game 34: B 1-0     (us: loss)  [15+8=11-]
game 35: W 1/2-1/2 (us: draw)  [15+9=11-]
game 36: B 1/2-1/2 (us: draw)  [15+10=11-]
game 37: W 1-0     (us: win)  [16+10=11-]
game 38: B 0-1     (us: win)  [17+10=11-]
game 39: W 1-0     (us: win)  [18+10=11-]
game 40: B 0-1     (us: win)  [19+10=11-]
game 41: W 1-0     (us: win)  [20+10=11-]
game 42: B 1/2-1/2 (us: draw)  [20+11=11-]
game 43: W 0-1     (us: loss)  [20+11=12-]
game 44: B 0-1     (us: win)  [21+11=12-]
game 45: W 0-1     (us: loss)  [21+11=13-]
game 46: B 0-1     (us: win)  [22+11=13-]
game 47: W 1-0     (us: win)  [23+11=13-]
game 48: B 0-1     (us: win)  [24+11=13-]
game 49: W 1-0     (us: win)  [25+11=13-]
game 50: B 1-0     (us: loss)  [25+11=14-]
game 51: W 1/2-1/2 (us: draw)  [25+12=14-]
game 52: B 1/2-1/2 (us: draw)  [25+13=14-]
game 53: W 1/2-1/2 (us: draw)  [25+14=14-]
game 54: B 1-0     (us: loss)  [25+14=15-]
game 55: W 1-0     (us: win)  [26+14=15-]
game 56: B 1-0     (us: loss)  [26+14=16-]
game 57: W 0-1     (us: loss)  [26+14=17-]
game 58: B 1-0     (us: loss)  [26+14=18-]
game 59: W 1/2-1/2 (us: draw)  [26+15=18-]
game 60: B 0-1     (us: win)  [27+15=18-]

result vs cmd:.venv/bin/python -m engine.uci: +27 =15 -18  (58%)
elo diff: +53  (95% ~ -35..+147)
