screening balanced starts with Stockfish...
1666 balanced starts ready
[4040/5000] games, 79637 samples
[4060/5000] games, 80026 samples
[4080/5000] games, 80426 samples
[4100/5000] games, 80825 samples
[4120/5000] games, 81212 samples
[4140/5000] games, 81601 samples
[4160/5000] games, 81995 samples
[4180/5000] games, 82395 samples
[4200/5000] games, 82778 samples
[4220/5000] games, 83178 samples
[4240/5000] games, 83564 samples
[4260/5000] games, 83945 samples
[4280/5000] games, 84340 samples
[4300/5000] games, 84730 samples
[4320/5000] games, 85123 samples
[4340/5000] games, 85510 samples
[4360/5000] games, 85909 samples
[4380/5000] games, 86309 samples
[4400/5000] games, 86709 samples
[4420/5000] games, 87105 samples
[4440/5000] games, 87493 samples
[4460/5000] games, 87893 samples
[4480/5000] games, 88293 samples
[4500/5000] games, 88693 samples
[4520/5000] games, 89085 samples
[4540/5000] games, 89482 samples
[4560/5000] games, 89882 samples
[4580/5000] games, 90282 samples
[4600/5000] games, 90681 samples
[4620/5000] games, 91079 samples
[4640/5000] games, 91467 samples
[4660/5000] games, 91867 samples
[4680/5000] games, 92262 samples
[4700/5000] games, 92662 samples
[4720/5000] games, 93041 samples
[4740/5000] games, 93438 samples
[4760/5000] games, 93829 samples
[4780/5000] games, 94225 samples
[4800/5000] games, 94617 samples
[4820/5000] games, 95017 samples
[4840/5000] games, 95408 samples
[4860/5000] games, 95808 samples
[4880/5000] games, 96200 samples
[4900/5000] games, 96597 samples
[4920/5000] games, 96997 samples
[4940/5000] games, 97393 samples
[4960/5000] games, 97789 samples
[4980/5000] games, 98189 samples
[5000/5000] games, 98588 samples
wrote 98588 samples to research/data/texel5.jsonl
