book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1-0     (us: win)  [1+0=0-]
game  2: B 0-1     (us: win)  [2+0=0-]
game  3: W 0-1     (us: loss)  [2+0=1-]
game  4: B 0-1     (us: win)  [3+0=1-]
game  5: W 0-1     (us: loss)  [3+0=2-]
game  6: B 0-1     (us: win)  [4+0=2-]
game  7: W 1-0     (us: win)  [5+0=2-]
game  8: B 1-0     (us: loss)  [5+0=3-]
game  9: W 1-0     (us: win)  [6+0=3-]
game 10: B 0-1     (us: win)  [7+0=3-]
game 11: W 1/2-1/2 (us: draw)  [7+1=3-]
game 12: B 1/2-1/2 (us: draw)  [7+2=3-]
game 13: W 1-0     (us: win)  [8+2=3-]
game 14: B 0-1     (us: win)  [9+2=3-]
game 15: W 1-0     (us: win)  [10+2=3-]
game 16: B 0-1     (us: win)  [11+2=3-]
game 17: W 1-0     (us: win)  [12+2=3-]
game 18: B 1-0     (us: loss)  [12+2=4-]
game 19: W 1-0     (us: win)  [13+2=4-]
game 20: B 0-1     (us: win)  [14+2=4-]
game 21: W 0-1     (us: loss)  [14+2=5-]
game 22: B 0-1     (us: win)  [15+2=5-]
game 23: W 1-0     (us: win)  [16+2=5-]
game 24: B 1/2-1/2 (us: draw)  [16+3=5-]
game 25: W 1-0     (us: win)  [17+3=5-]
game 26: B 0-1     (us: win)  [18+3=5-]
game 27: W 1-0     (us: win)  [19+3=5-]
game 28: B 1/2-1/2 (us: draw)  [19+4=5-]
game 29: W 1/2-1/2 (us: draw)  [19+5=5-]
game 30: B 1/2-1/2 (us: draw)  [19+6=5-]
game 31: W 1-0     (us: win)  [20+6=5-]
game 32: B 1/2-1/2 (us: draw)  [20+7=5-]
game 33: W 0-1     (us: loss)  [20+7=6-]
game 34: B 1/2-1/2 (us: draw)  [20+8=6-]
game 35: W 1-0     (us: win)  [21+8=6-]
game 36: B 0-1     (us: win)  [22+8=6-]
game 37: W 1/2-1/2 (us: draw)  [22+9=6-]
game 38: B 0-1     (us: win)  [23+9=6-]
game 39: W 1/2-1/2 (us: draw)  [23+10=6-]
game 40: B 1-0     (us: loss)  [23+10=7-]
game 41: W 1-0     (us: win)  [24+10=7-]
game 42: B 1/2-1/2 (us: draw)  [24+11=7-]
game 43: W 0-1     (us: loss)  [24+11=8-]
game 44: B 0-1     (us: win)  [25+11=8-]
game 45: W 1-0     (us: win)  [26+11=8-]
game 46: B 0-1     (us: win)  [27+11=8-]
game 47: W 1-0     (us: win)  [28+11=8-]
game 48: B 0-1     (us: win)  [29+11=8-]
game 49: W 1/2-1/2 (us: draw)  [29+12=8-]
game 50: B 1/2-1/2 (us: draw)  [29+13=8-]
game 51: W 1-0     (us: win)  [30+13=8-]
game 52: B 1/2-1/2 (us: draw)  [30+14=8-]
game 53: W 0-1     (us: loss)  [30+14=9-]
game 54: B 0-1     (us: win)  [31+14=9-]
game 55: W 0-1     (us: loss)  [31+14=10-]
game 56: B 0-1     (us: win)  [32+14=10-]
game 57: W 0-1     (us: loss)  [32+14=11-]
game 58: B 1/2-1/2 (us: draw)  [32+15=11-]
game 59: W 1-0     (us: win)  [33+15=11-]
game 60: B 0-1     (us: win)  [34+15=11-]

result vs cmd:.venv/bin/python -m engine.uci: +34 =15 -11  (69%)
elo diff: +140  (95% ~ +52..+250)
