screening balanced starts with Stockfish...
300 balanced starts ready
[20/900] games, 392 samples
[40/900] games, 792 samples
[60/900] games, 1192 samples
[80/900] games, 1588 samples
[100/900] games, 1981 samples
[120/900] games, 2379 samples
[140/900] games, 2774 samples
[160/900] games, 3165 samples
[180/900] games, 3562 samples
[200/900] games, 3954 samples
[220/900] games, 4350 samples
[240/900] games, 4737 samples
[260/900] games, 5131 samples
[280/900] games, 5525 samples
[300/900] games, 5924 samples
[320/900] games, 6324 samples
[340/900] games, 6717 samples
[360/900] games, 7117 samples
[380/900] games, 7517 samples
[400/900] games, 7904 samples
[420/900] games, 8302 samples
[440/900] games, 8684 samples
[460/900] games, 9079 samples
[480/900] games, 9476 samples
[500/900] games, 9876 samples
[520/900] games, 10266 samples
[540/900] games, 10662 samples
[560/900] games, 11052 samples
[580/900] games, 11452 samples
[600/900] games, 11852 samples
[620/900] games, 12249 samples
[640/900] games, 12643 samples
[660/900] games, 13043 samples
[680/900] games, 13443 samples
[700/900] games, 13841 samples
[720/900] games, 14241 samples
[740/900] games, 14641 samples
[760/900] games, 15033 samples
[780/900] games, 15419 samples
[800/900] games, 15813 samples
[820/900] games, 16196 samples
[840/900] games, 16576 samples
[860/900] games, 16962 samples
[880/900] games, 17357 samples
[900/900] games, 17752 samples
wrote 17752 samples to research/data/texel2.jsonl
