screening balanced starts with Stockfish...
1000 balanced starts ready
[20/3000] games, 392 samples
[40/3000] games, 792 samples
[60/3000] games, 1178 samples
[80/3000] games, 1576 samples
[100/3000] games, 1976 samples
[120/3000] games, 2376 samples
[140/3000] games, 2759 samples
[160/3000] games, 3157 samples
[180/3000] games, 3552 samples
[200/3000] games, 3938 samples
[220/3000] games, 4338 samples
[240/3000] games, 4728 samples
[260/3000] games, 5128 samples
[280/3000] games, 5521 samples
[300/3000] games, 5919 samples
[320/3000] games, 6319 samples
[340/3000] games, 6719 samples
[360/3000] games, 7112 samples
[380/3000] games, 7510 samples
[400/3000] games, 7910 samples
[420/3000] games, 8310 samples
[440/3000] games, 8710 samples
[460/3000] games, 9098 samples
[480/3000] games, 9490 samples
[500/3000] games, 9890 samples
[520/3000] games, 10269 samples
[540/3000] games, 10669 samples
[560/3000] games, 11060 samples
[580/3000] games, 11454 samples
[600/3000] games, 11848 samples
[620/3000] games, 12248 samples
[640/3000] games, 12646 samples
[660/3000] games, 13046 samples
[680/3000] games, 13442 samples
[700/3000] games, 13842 samples
[720/3000] games, 14242 samples
[740/3000] games, 14638 samples
[760/3000] games, 15038 samples
[780/3000] games, 15431 samples
[800/3000] games, 15819 samples
[820/3000] games, 16210 samples
[840/3000] games, 16601 samples
[860/3000] games, 16992 samples
[880/3000] games, 17388 samples
[900/3000] games, 17780 samples
[920/3000] games, 18180 samples
[940/3000] games, 18576 samples
[960/3000] games, 18969 samples
[980/3000] games, 19363 samples
[1000/3000] games, 19762 samples
[1020/3000] games, 20149 samples
[1040/3000] games, 20548 samples
[1060/3000] games, 20944 samples
[1080/3000] games, 21335 samples
[1100/3000] games, 21729 samples
[1120/3000] games, 22120 samples
[1140/3000] games, 22495 samples
[1160/3000] games, 22895 samples
[1180/3000] games, 23295 samples
[1200/3000] games, 23681 samples
[1220/3000] games, 24074 samples
[1240/3000] games, 24470 samples
[1260/3000] games, 24870 samples
[1280/3000] games, 25264 samples
[1300/3000] games, 25664 samples
[1320/3000] games, 26064 samples
[1340/3000] games, 26464 samples
[1360/3000] games, 26858 samples
[1380/3000] games, 27258 samples
[1400/3000] games, 27658 samples
[1420/3000] games, 28058 samples
[1440/3000] games, 28455 samples
[1460/3000] games, 28843 samples
[1480/3000] games, 29230 samples
[1500/3000] games, 29628 samples
[1520/3000] games, 30008 samples
[1540/3000] games, 30402 samples
[1560/3000] games, 30790 samples
[1580/3000] games, 31184 samples
[1600/3000] games, 31578 samples
[1620/3000] games, 31978 samples
[1640/3000] games, 32376 samples
[1660/3000] games, 32776 samples
[1680/3000] games, 33172 samples
[1700/3000] games, 33566 samples
[1720/3000] games, 33966 samples
[1740/3000] games, 34349 samples
[1760/3000] games, 34736 samples
[1780/3000] games, 35129 samples
[1800/3000] games, 35526 samples
[1820/3000] games, 35924 samples
[1840/3000] games, 36324 samples
[1860/3000] games, 36723 samples
[1880/3000] games, 37121 samples
[1900/3000] games, 37513 samples
[1920/3000] games, 37913 samples
[1940/3000] games, 38304 samples
[1960/3000] games, 38689 samples
[1980/3000] games, 39080 samples
[2000/3000] games, 39480 samples
[2020/3000] games, 39875 samples
[2040/3000] games, 40273 samples
[2060/3000] games, 40667 samples
[2080/3000] games, 41067 samples
[2100/3000] games, 41467 samples
[2120/3000] games, 41861 samples
[2140/3000] games, 42248 samples
[2160/3000] games, 42631 samples
[2180/3000] games, 43028 samples
[2200/3000] games, 43414 samples
[2220/3000] games, 43814 samples
[2240/3000] games, 44212 samples
[2260/3000] games, 44612 samples
[2280/3000] games, 44997 samples
[2300/3000] games, 45397 samples
[2320/3000] games, 45796 samples
[2340/3000] games, 46196 samples
[2360/3000] games, 46595 samples
[2380/3000] games, 46990 samples
[2400/3000] games, 47388 samples
[2420/3000] games, 47788 samples
[2440/3000] games, 48188 samples
[2460/3000] games, 48588 samples
[2480/3000] games, 48969 samples
[2500/3000] games, 49369 samples
[2520/3000] games, 49754 samples
[2540/3000] games, 50154 samples
[2560/3000] games, 50530 samples
[2580/3000] games, 50924 samples
[2600/3000] games, 51322 samples
[2620/3000] games, 51722 samples
[2640/3000] games, 52122 samples
[2660/3000] games, 52521 samples
[2680/3000] games, 52908 samples
[2700/3000] games, 53289 samples
[2720/3000] games, 53689 samples
[2740/3000] games, 54081 samples
[2760/3000] games, 54477 samples
[2780/3000] games, 54869 samples
[2800/3000] games, 55266 samples
[2820/3000] games, 55656 samples
[2840/3000] games, 56031 samples
[2860/3000] games, 56431 samples
[2880/3000] games, 56829 samples
[2900/3000] games, 57220 samples
[2920/3000] games, 57616 samples
[2940/3000] games, 58004 samples
[2960/3000] games, 58403 samples
[2980/3000] games, 58789 samples
[3000/3000] games, 59189 samples
wrote 59189 samples to research/data/texel3.jsonl
